subjID,StartDate,EndDate,AttritionRemedy,Age,Sex,RaceW_B_Ind_A_Haw_Biracial,Political Identification,CorpTax,CorpTaxImp,CC,Ccimp,Protest,Sign petitions,Call representative,Riot,Boycotting,Run for President of the USA,Flag_IMT,Simp0_1Comp,For0_1Ag,Con1_2Incon_3NP,CC0_1CT,ProcEase,PolAtt1,PolAtt2,PolAtt3,PolAttDV
12,6/23/17 17:00,6/23/17 17:01,I will complete the full survey,36,2,1,7,2,7,2,7,,,,,,6,0,1,0,2,1,1,1,1,1,1
13,6/23/17 17:15,6/23/17 17:16,I will complete the full survey,21,1,1,2,1,6,1,7,,,,,,6,0,1,0,1,1,2,4,4,4,4
14,6/23/17 17:13,6/23/17 17:16,I will complete the full surve,53,2,1,1,1,6,1,7,,,,,,6,0,1,0,1,1,2,4,4,4,4
15,6/23/17 17:08,6/23/17 17:10,I will complete the fully survey,39,2,1,2,1,4,1,4,,,,,,6,0,1,0,1,1,2,4,4,5,4.333333333
16,6/23/17 17:07,6/23/17 17:08,I will complete the full survey,35,2,1,6,2,6,2,5,,,,,,6,0,1,0,2,1,2,2,2,2,2
17,6/23/17 17:05,6/23/17 17:10,I will complete the full survey,27,2,1,0,3,1,1,2,,,,,,6,0,1,0,3,1,2,4,4,4,4
18,6/23/17 17:06,6/23/17 17:08,I will complete the full survey.,36,1,1,6,1,5,3,4,,,,,,6,0,1,0,1,1,2,2,4,2,2.666666667
19,6/23/17 17:01,6/23/17 17:02,I will complete the full survey,33,2,6,1,1,7,1,7,,,,,,6,0,1,0,1,1,2,5,5,5,5
20,6/23/17 17:01,6/23/17 17:03,I will complete the full survey,35,1,1,2,1,6,1,2,,,,,,6,0,1,0,1,1,2,5,5,5,5
21,6/23/17 17:01,6/23/17 17:04,I will complete the full survey,31,1,1,3,3,2,2,2,,,,,,6,0,1,0,3,1,2,3,3,2,2.666666667
22,6/23/17 17:00,6/23/17 17:03,I will complete the full survey,31,1,1,6,1,3,1,6,,,,,,6,0,1,0,1,1,2,5,6,5,5.333333333
23,6/23/17 17:31,6/23/17 17:33,I will complete the full survey,26,1,1,2,1,4,1,7,,,,,,6,0,1,0,1,1,3,5,4,5,4.666666667
24,6/23/17 17:19,6/23/17 17:22,I will complete the full survey,41,2,1,4,2,5,1,5,,,,,,6,0,1,0,2,1,3,2,2,3,2.333333333
25,6/23/17 17:09,6/23/17 17:11,I will complete the full survey,26,1,1,2,1,5,3,3,,,,,,6,0,1,0,1,1,3,4,4,4,4
26,6/23/17 17:09,6/23/17 17:11,I will complete the full survey,26,2,1,5,1,3,3,2,,,,,,6,0,1,0,1,1,3,4,4,4,4
27,6/23/17 17:03,6/23/17 17:04,I will complete the full survey,22,1,1,1,1,6,1,6,,,,,,6,0,1,0,1,1,3,6,6,6,6
28,6/23/17 16:59,6/23/17 17:04,I will complete the full survey,30,1,1,5,1,6,1,6,,,,,,6,0,1,0,1,1,3,6,6,6,6
29,6/23/17 17:02,6/23/17 17:05,I will complete the full survey,57,2,1,6,1,4,3,1,,,,,,6,0,1,0,1,1,3,4,4,4,4
30,6/23/17 17:16,6/23/17 17:18,I will complete the full survey,34,2,1,6,1,5,3,3,,,,,,6,0,1,0,1,1,4,4,5,5,4.666666667
31,6/23/17 17:12,6/23/17 17:15,I will complete the full survey,33,2,4,2,1,4,1,5,,,,,,6,0,1,0,1,1,4,5,5,5,5
32,6/23/17 17:13,6/23/17 17:14,I will complete the full survey,25,2,1,2,1,6,1,6,,,,,,6,0,1,0,1,1,4,5,6,3,4.666666667
33,6/23/17 17:10,6/23/17 17:12,I will complete the full survey,28,1,1,3,2,5,3,2,,,,,,6,0,1,0,2,1,4,1,1,1,1
34,6/23/17 17:09,6/23/17 17:10,I will complete the full survey,25,2,1,2,1,3,1,6,,,,,,6,0,1,0,1,1,4,5,4,4,4.333333333
35,6/23/17 17:07,6/23/17 17:08,I will complete the full survey,46,1,1,5,2,5,2,3,,,,,,6,0,1,0,2,1,4,5,4,4,4.333333333
36,6/23/17 17:01,6/23/17 17:04,I will complete the full survey,42,1,1,2,1,2,2,2,,,,,,6,0,1,0,1,1,4,6,6,6,6
37,6/23/17 17:01,6/23/17 17:03,I will complete the full survey,40,2,1,2,1,2,3,1,,,,,,6,0,1,0,1,1,4,4,4,4,4
38,6/23/17 17:19,6/23/17 17:22,I will complete the full survey,31,2,1,5,1,6,1,6,,,,,,6,0,1,0,1,1,5,5,6,6,5.666666667
39,6/23/17 17:17,6/23/17 17:20,I will complete the full survey,25,2,4,2,2,6,2,5,,,,,,6,0,1,0,2,1,5,4,5,5,4.666666667
40,6/23/17 17:12,6/23/17 17:13,I will complete the full survey,41,1,1,2,1,5,1,4,,,,,,6,0,1,0,1,1,5,5,5,5,5
41,6/23/17 17:12,6/23/17 17:15,i will complete the full survey,25,1,1,2,1,4,1,4,,,,,,6,0,1,0,1,1,5,6,6,6,6
42,6/23/17 17:08,6/23/17 17:10,I will complete the full survey,50,2,4,2,1,3,1,2,,,,,,6,0,1,0,1,1,5,5,5,5,5
43,6/23/17 17:06,6/23/17 17:08,I will complete the full survey,33,2,1,7,1,6,1,4,,,,,,6,0,1,0,1,1,5,5,5,6,5.333333333
44,6/23/17 17:05,6/23/17 17:06,I will complete the full survey,28,1,1,5,1,5,2,2,,,,,,6,0,1,0,1,1,5,4,4,4,4
45,6/23/17 17:03,6/23/17 17:04,I will complete the full survey,26,1,1,3,1,3,1,3,,,,,,6,0,1,0,1,1,5,5,5,5,5
46,6/23/17 17:00,6/23/17 17:02,I will complete the full survey,23,2,1,7,1,6,1,3,,,,,,6,0,1,0,1,1,5,6,5,4,5
47,6/23/17 17:16,6/23/17 17:17,I will complete the full survey,27,2,1,7,3,1,2,5,,,,,,6,0,1,0,3,1,6,4,4,4,4
48,6/23/17 17:05,6/23/17 17:08,I will complete the full survey,31,2,1,3,1,5,1,7,,,,,,6,0,1,0,1,1,6,7,7,7,7
49,6/23/17 17:22,6/23/17 17:25,I will complete the full survey,28,2,1,7,2,5,2,6,,,,,,6,0,1,0,2,1,7,1,1,1,1
50,6/23/17 17:10,6/23/17 17:11,I will complete the full survey,51,2,1,5,1,1,1,5,,,,,,6,0,1,0,1,1,7,7,7,7,7
51,6/23/17 17:17,6/23/17 17:18,I will complete the full survey,25,1,1,2,1,6,1,6,,,,,,6,0,0,1,2,1,1,1,1,1,1
52,6/23/17 17:11,6/23/17 17:15,I will complete the full survey,36,2,1,6,1,5,1,2,,,,,,6,0,0,1,2,1,1,1,1,1,1
53,6/23/17 17:08,6/23/17 17:09,I will complete the full survery,31,2,1,2,1,2,1,2,,,,,,6,0,0,1,2,1,1,1,1,1,1
54,6/23/17 17:00,6/23/17 17:02,i will complete the full survey,33,1,1,5,3,1,3,1,,,,,,6,0,0,1,4,1,1,2,2,2,2
55,6/23/17 17:14,6/23/17 17:16,I will complete the full survey,32,1,1,2,1,6,1,7,,,,,,6,0,0,1,2,1,2,3,2,1,2
56,6/23/17 17:07,6/23/17 17:09,I will complete the full survey,59,1,1,2,1,3,1,3,,,,,,6,0,0,1,2,1,2,2,2,1,1.666666667
57,6/23/17 17:02,6/23/17 17:04,I will complete the full survey,34,1,1,4,2,2,2,2,,,,,,6,0,0,1,3,1,3,4,4,4,4
58,6/23/17 17:00,6/23/17 17:03,I will complete the full survey,67,1,1,5,1,4,1,5,,,,,,6,0,0,1,2,1,3,5,5,5,5
59,6/23/17 17:00,6/23/17 17:02,I will complete the full survey,31,2,1,2,1,5,3,2,,,,,,6,0,0,1,2,1,3,3,3,4,3.333333333
60,6/23/17 16:59,6/23/17 17:11,I will complete the full survey,25,1,1,4,1,5,2,6,,,,,,6,0,0,1,2,1,3,4,3,6,4.333333333
61,6/23/17 17:16,6/23/17 17:18,I will complete the full survey,24,2,2,4,1,3,2,2,,,,,,6,0,0,1,2,1,4,5,3,6,4.666666667
62,6/23/17 17:11,6/23/17 17:13,I will complete the full survey,27,1,1,1,1,7,1,7,,,,,,6,0,0,1,2,1,4,1,7,7,5
63,6/23/17 17:08,6/23/17 17:10,I will complete the full survey,51,2,4,2,1,5,1,5,,,,,,6,0,0,1,2,1,4,5,5,6,5.333333333
64,6/23/17 17:07,6/23/17 17:08,I will complete the full survey,23,1,1,4,3,2,3,2,,,,,,6,0,0,1,4,1,4,4,4,4,4
65,6/23/17 17:01,6/23/17 17:02,I will complete the full survey,39,2,1,4,1,4,1,5,,,,,,6,0,0,1,2,1,4,5,5,5,5
66,6/23/17 17:26,6/23/17 17:28,I will complete the full survey,23,1,1,1,1,4,1,5,,,,,,6,0,0,1,2,1,5,2,2,1,1.666666667
67,6/23/17 17:21,6/23/17 17:24,I will complete the full survey,27,2,1,7,3,2,1,2,,,,,,6,0,0,1,4,1,5,5,5,5,5
68,6/23/17 17:17,6/23/17 17:20,I will complete the full survey,53,1,1,6,2,5,3,2,,,,,,6,0,0,1,3,1,5,5,6,6,5.666666667
69,6/23/17 17:15,6/23/17 17:17,I will complete the full survey,29,2,1,0,3,1,3,1,,,,,,6,0,0,1,4,1,5,4,4,4,4
70,6/23/17 17:11,6/23/17 17:15,I will complete the full survey,25,1,1,1,1,3,1,4,,,,,,6,0,0,1,2,1,5,6,6,6,6
71,6/23/17 17:03,6/23/17 17:04,I will complete the full survey,29,1,1,2,1,5,1,6,,,,,,,1,0,1,2,1,5,4,3,2,3
72,6/23/17 17:01,6/23/17 17:02,I will complete the full survey,33,1,1,4,1,6,1,5,,,,,,6,0,0,1,2,1,5,6,5,5,5.333333333
73,6/23/17 17:01,6/23/17 17:03,I will complete the full survey,26,1,1,2,1,4,1,3,,,,,,6,0,0,1,2,1,5,5,5,6,5.333333333
74,6/23/17 17:00,6/23/17 17:02,I will complete the full survey,33,1,1,3,1,3,1,4,,,,,,6,0,0,1,2,1,5,4,5,6,5
75,6/23/17 17:21,6/23/17 17:23,I will complete the full survey,48,2,1,7,2,5,2,2,,,,,,6,0,0,1,3,1,6,4,4,4,4
76,6/23/17 17:03,6/23/17 17:04,I will complete the full survey,25,1,1,5,1,5,1,6,,,,,,6,0,0,1,2,1,6,4,5,3,4
77,6/23/17 17:00,6/23/17 17:12,I will complete the full survey,23,2,4,2,1,6,3,1,,,,,,6,0,0,1,2,1,6,4,4,5,4.333333333
78,6/23/17 17:29,6/23/17 17:33,I will complete the full survey,28,1,1,5,2,3,2,5,,,,,,6,0,0,1,3,1,7,6,7,6,6.333333333
79,6/23/17 17:18,6/23/17 17:20,I will complete the full survey,24,1,1,1,1,5,1,6,,,,,,6,0,0,1,2,1,7,1,1,1,1
80,6/23/17 17:17,6/23/17 17:21,I will complete the full survey ,26,1,1,2,2,6,2,4,,,,,,6,0,0,1,3,1,7,6,6,6,6
81,6/23/17 17:09,6/23/17 17:12,I will complete the full survey,34,1,1,6,2,7,2,7,,,,,,6,0,0,1,3,1,7,7,7,7,7
82,6/23/17 17:09,6/23/17 17:11,I will complete the full survey,62,1,1,6,3,7,3,4,,,,,,6,0,0,1,4,1,7,7,7,7,7
83,6/23/17 17:06,6/23/17 17:15,I will complete the full survey,24,2,1,6,1,5,2,7,,,,,,6,0,0,1,2,1,7,1,1,1,1
84,6/23/17 16:59,6/23/17 17:01,I will complete the full survey,34,1,4,2,1,7,1,6,,,,,,6,0,0,1,2,1,7,1,1,1,1
85,6/23/17 17:09,6/23/17 17:11,I will complete the full survey,34,1,1,4,2,3,2,2,,,,,,6,0,0,0,2,1,2,2,2,1,1.666666667
86,6/23/17 17:04,6/23/17 17:06,I will complete the full survey,31,1,1,2,1,4,1,5,,,,,,6,0,0,0,1,1,2,4,4,4,4
87,6/23/17 17:00,6/23/17 17:02,I will complete the full survey,25,2,1,2,1,4,1,6,,,,,,6,0,0,0,1,1,2,4,4,5,4.333333333
88,6/23/17 17:00,6/23/17 17:02,I will complete the full survey,30,2,1,4,2,4,2,2,,,,,,6,0,0,0,2,1,2,1,1,1,1
89,6/23/17 17:12,6/23/17 17:15,I will complete the full survey,33,2,1,4,2,5,1,5,,,,,,6,0,0,0,2,1,3,2,2,2,2
90,6/23/17 17:15,6/23/17 17:16,I will complete the full survey,38,1,1,4,2,4,3,4,,,,,,6,0,0,0,2,1,4,4,4,4,4
91,6/23/17 17:13,6/23/17 17:14,I will complete the full survey,45,2,1,4,1,4,3,1,,,,,,6,0,0,0,1,1,4,3,3,4,3.333333333
92,6/23/17 17:00,6/23/17 17:02,I will complete the full survey,37,2,6,5,1,5,1,7,,,,,,6,0,0,0,1,1,4,6,6,7,6.333333333
93,6/23/17 17:24,6/23/17 17:26,I will complete the full survey,26,1,4,3,1,5,1,7,,,,,,6,0,0,0,1,1,5,6,6,7,6.333333333
94,6/23/17 17:16,6/23/17 17:19,I will complete the full survey,52,1,1,4,2,2,2,4,,,,,,6,0,0,0,2,1,5,2,2,1,1.666666667
95,6/23/17 17:09,6/23/17 17:13,I will complete the full survey,43,2,1,3,1,2,1,7,,,,,,6,0,0,0,1,1,5,5,5,5,5
96,6/23/17 17:07,6/23/17 17:12,I will complete the full survey,37,1,1,5,2,4,2,3,,,,,,6,0,0,0,2,1,5,3,3,3,3
97,6/23/17 17:07,6/23/17 17:09,I will complete the full survey,53,2,1,7,2,5,1,3,,,,,,6,0,0,0,2,1,5,4,1,1,2
98,6/23/17 17:05,6/23/17 17:06,I will complete the full survey,27,1,1,2,1,7,1,7,,,,,,6,0,0,0,1,1,5,6,6,7,6.333333333
99,6/23/17 17:02,6/23/17 17:03,I will complete the full survey,21,1,4,2,1,5,1,6,,,,,,6,0,0,0,1,1,5,6,6,6,6
100,6/23/17 17:16,6/23/17 17:18,I will complete the full survey,45,1,4,4,2,7,2,6,,,,,,6,0,0,0,2,1,6,1,1,1,1
101,6/23/17 17:14,6/23/17 17:15,I will complete the full survey,44,1,1,6,2,5,2,2,,,,,,6,0,0,0,2,1,6,1,1,1,1
102,6/23/17 17:04,6/23/17 17:06,I will complete the full survey,24,2,2,4,1,4,2,5,,,,,,6,0,0,0,1,1,6,6,6,6,6
103,6/23/17 17:02,6/23/17 17:05,I will complete the full survey ,25,2,1,3,1,4,1,5,,2,,,,,1,0,0,1,1,6,7,7,7,7
104,6/23/17 17:19,6/23/17 17:23,I will complete the full survey,32,2,1,4,1,7,1,6,,,,,,6,0,0,0,1,1,7,4,7,7,6
105,6/23/17 17:19,6/23/17 17:22,I will complete the full survey,31,1,1,2,1,6,1,7,,,,,,6,0,0,0,1,1,7,7,7,7,7
106,6/23/17 17:18,6/23/17 17:20,I will complete the full survey,30,1,1,3,3,3,1,6,,,,,,6,0,0,0,3,1,7,4,6,5,5
107,6/23/17 17:16,6/23/17 17:17,I will complete the full survey ,22,2,1,6,2,5,3,,,,,,,,1,0,0,2,1,7,2,1,1,1.333333333
108,6/23/17 17:15,6/23/17 17:16,I will complete the full survey,32,1,1,4,1,2,1,7,,,,,,6,0,0,0,1,1,7,5,5,5,5
109,6/23/17 17:12,6/23/17 17:14,I will complete the full survey,24,1,1,4,2,7,1,7,,,,,,6,0,0,0,2,1,7,1,1,1,1
110,6/23/17 17:12,6/23/17 17:15,I will complete the full survey,47,1,1,2,1,7,1,7,,,,,,6,0,0,0,1,1,7,7,7,7,7
111,6/23/17 17:09,6/23/17 17:11,I will complete the full survey,43,1,1,5,2,3,1,3,,,,,,6,0,0,0,2,1,7,3,3,3,3
112,6/23/17 17:09,6/23/17 17:11,I will complete the full survey,31,1,1,3,1,6,1,6,,,,,,6,0,0,0,1,1,7,7,7,7,7
113,6/23/17 17:07,6/23/17 17:09,I will complete the full survey,38,2,1,5,2,5,1,3,,,,,,6,0,0,0,2,1,7,7,7,7,7
114,6/23/17 17:05,6/23/17 17:07,I will complete the full survey,28,1,4,2,1,7,3,4,,,,,,6,0,0,0,1,1,7,7,7,7,7
115,6/23/17 17:05,6/23/17 17:09,I will complete the full survey,51,1,1,6,2,6,2,5,,,,,,6,0,0,0,2,1,7,1,1,1,1
116,6/23/17 17:05,6/23/17 17:06,I will complete the full survey,27,1,1,4,1,5,1,7,,,,,,6,0,0,0,1,1,7,7,7,7,7
117,6/23/17 17:04,6/23/17 17:06,I will complete the full survey,23,2,1,1,1,4,1,6,,,,,,6,0,0,0,1,1,7,6,6,7,6.333333333
118,6/23/17 17:04,6/23/17 17:05,I will complete the full survey,35,1,1,2,1,7,1,7,,,,,,6,0,0,0,1,1,7,7,7,7,7
119,6/23/17 17:02,6/23/17 17:03,I will complete the full survey,26,1,1,5,1,4,1,1,,,,,,6,0,0,0,1,1,7,7,7,7,7
120,6/23/17 17:01,6/23/17 17:03,I will complete the full survey,33,1,1,2,1,6,1,5,,,,,,6,0,0,0,1,1,7,7,7,7,7
121,6/23/17 17:02,6/23/17 17:03,I will complete the full survey,24,1,1,2,1,4,3,1,,,,,,6,0,0,0,1,1,7,6,6,7,6.333333333
122,6/23/17 17:01,6/23/17 17:02,I will complete the full survey,30,2,1,1,1,5,1,6,,,,,,6,0,0,0,1,1,7,6,6,7,6.333333333
123,6/23/17 17:00,6/23/17 17:01,I will complete the full survey,54,2,2,1,1,7,1,7,,,,,,6,0,0,0,1,1,7,7,7,7,7
124,6/23/17 16:59,6/23/17 17:02,I will complete the full survey,40,1,1,2,1,7,1,5,,,,,,6,0,0,0,1,1,7,7,7,7,7
125,6/23/17 16:59,6/23/17 17:00,I will complete the full survey,43,1,1,6,1,2,3,1,,,,,,6,0,0,0,1,1,7,7,7,7,7
126,6/23/17 17:29,6/23/17 17:31,"I will complete the full survey"" so that we can ensure your data will be of high quality.",37,1,1,2,2,5,2,3,,,,,,6,0,1,1,1,0,1,1,1,1,1
127,6/23/17 17:12,6/23/17 17:14,I will complete the full survey,63,1,1,2,2,4,1,7,,,,,,6,0,1,1,2,0,1,3,1,1,1.666666667
128,6/23/17 17:08,6/23/17 17:11,I will complete the full survey,43,2,1,5,2,3,3,4,,,,,,6,0,1,1,3,0,1,2,2,3,2.333333333
129,6/23/17 17:07,6/23/17 17:09,I will complete the full survey,58,1,1,6,2,5,2,2,,,,,,6,0,1,1,1,0,1,1,1,1,1
130,6/23/17 17:05,6/23/17 17:10,I will complete the full survey,29,1,6,1,1,4,1,2,,,,,,6,0,1,1,2,0,1,1,1,1,1
131,6/23/17 17:05,6/23/17 17:06,I will complete the full survey,33,2,1,2,1,5,1,3,,,,,,6,0,1,1,2,0,1,4,4,4,4
132,6/23/17 17:05,6/23/17 17:06,I will complete the full survey,27,1,1,1,1,7,1,3,,,,,,6,0,1,1,2,0,1,6,6,6,6
133,6/23/17 17:04,6/23/17 17:05,I will complete the full survey.,31,2,1,4,2,5,1,3,,,,,,6,0,1,1,2,0,1,2,3,2,2.333333333
134,6/23/17 17:03,6/23/17 17:05,I will complete the full survey,28,1,1,1,1,7,1,4,,,,,,6,0,1,1,2,0,1,4,4,4,4
135,6/23/17 17:02,6/23/17 17:04,I will complete the full survey,43,1,1,4,1,6,2,5,,,,,,6,0,1,1,1,0,1,2,2,2,2
136,6/23/17 17:02,6/23/17 17:06,I will complete the full survey,52,2,1,5,2,2,2,1,,,,,,6,0,1,1,1,0,1,2,2,2,2
137,6/23/17 17:31,6/23/17 17:33,I will complete the full survey,35,1,1,2,1,6,1,6,,,,,,6,0,1,1,2,0,2,4,4,4,4
138,6/23/17 17:17,6/23/17 17:20,I will complete the full survey,50,1,1,2,1,6,1,5,,,,,,6,0,1,1,2,0,2,2,6,5,4.333333333
139,6/23/17 17:07,6/23/17 17:09,I will complete the full survey,46,1,1,,1,,2,,,,,,,6,0,1,1,1,0,2,2,2,2,2
140,6/23/17 17:03,6/23/17 17:06,I will complete the full survey,23,2,1,1,1,7,1,6,,,,,,6,0,1,1,2,0,2,2,2,2,2
141,6/23/17 17:02,6/23/17 17:06,I will complete the full survy,57,1,1,5,3,5,3,3,,,,,,6,0,1,1,3,0,2,3,3,4,3.333333333
142,6/23/17 17:01,6/23/17 17:04,"I will complete the full survey"" so that we can ensure your data will be of high quality",58,2,6,6,2,5,2,6,,,,,,6,0,1,1,1,0,2,1,1,1,1
143,6/23/17 17:00,6/23/17 17:04,I will complete the full survey,20,2,1,4,1,4,1,4,,,,,,6,0,1,1,2,0,2,4,4,4,4
144,6/23/17 17:00,6/23/17 17:02,"I will complete the full survey"" so that we can ensure your data will be of high quality",32,1,1,2,1,2,1,3,,,,,,6,0,1,1,2,0,2,5,4,4,4.333333333
145,6/23/17 17:25,6/23/17 17:26,I will complete the full survey,51,1,1,4,1,5,1,6,,,,,,6,0,1,1,2,0,3,6,6,6,6
146,6/23/17 17:22,6/23/17 17:23,I WILL COMPLETE THE FULLY SURVEY,23,2,5,2,1,2,1,2,,,,,,6,0,1,1,2,0,3,3,3,3,3
147,6/23/17 17:22,6/23/17 17:23,I will complete the full survey,22,1,1,6,2,5,2,4,,,,,,6,0,1,1,1,0,3,6,5,6,5.666666667
148,6/23/17 17:18,6/23/17 17:20,I will complete the full survey,35,1,0,6,1,5,1,6,,,,,,6,0,1,1,2,0,3,1,1,1,1
149,6/23/17 17:17,6/23/17 17:20,I will complete the full survey,22,2,4,1,2,2,1,2,,,,,,6,0,1,1,2,0,3,4,4,5,4.333333333
150,6/23/17 17:16,6/23/17 17:20,I will complete the full survey,21,2,1,3,1,4,3,1,,,,,,6,0,1,1,3,0,3,5,2,5,4
151,6/23/17 17:08,6/23/17 17:10,I will complete the full survey,24,2,1,6,2,2,3,4,,,,,,6,0,1,1,3,0,3,3,3,3,3
152,6/23/17 17:06,6/23/17 17:08,I will complete the full survey,29,2,1,1,1,4,1,7,,,,,,6,0,1,1,2,0,3,5,5,5,5
153,6/23/17 17:03,6/23/17 17:04,I will complete the full survey,40,2,1,6,2,4,2,3,,,,,,6,0,1,1,1,0,3,1,1,1,1
154,6/23/17 17:01,6/23/17 17:03,I will complete the full surveyA3OB6REG5CGHK1,55,1,1,1,1,6,1,5,,,,,,6,0,1,1,2,0,3,2,2,2,2
155,6/23/17 17:00,6/23/17 17:08,I will complete the full survey,36,1,1,3,2,3,1,4,,,,,,6,0,1,1,2,0,3,4,3,3,3.333333333
156,6/23/17 17:43,6/23/17 17:48,I will complete the full survey,35,1,1,4,1,4,1,2,,,,,,6,0,1,1,2,0,4,5,5,5,5
157,6/23/17 17:17,6/23/17 17:18,I will complete the full survey,28,1,4,3,1,4,1,3,,,,,,6,0,1,1,2,0,4,5,5,5,5
158,6/23/17 17:12,6/23/17 17:14,I will complete the full survery,24,1,1,3,2,4,1,5,,,,,,6,0,1,1,2,0,4,5,6,6,5.666666667
159,6/23/17 17:06,6/23/17 17:08,I will complete the full survey,34,2,1,1,1,7,1,7,,,,,,6,0,1,1,2,0,4,1,1,1,1
160,6/23/17 17:04,6/23/17 17:06,I will complete the full survey,37,2,1,5,2,5,3,3,,,,,,6,0,1,1,3,0,4,6,6,7,6.333333333
161,6/23/17 17:46,6/23/17 17:49,I will complete the full survey,31,2,1,3,1,6,1,7,,,,,,6,0,1,1,2,0,5,1,1,1,1
162,6/23/17 17:23,6/23/17 17:25,I will complete the full survey,31,2,1,2,1,4,1,7,,,,,,6,0,1,1,2,0,5,1,1,1,1
163,6/23/17 17:12,6/23/17 17:13,I will complete the full survey,21,2,2,3,2,4,2,5,,,,,,6,0,1,1,1,0,5,4,4,6,4.666666667
164,6/23/17 17:11,6/23/17 17:12,I will complete the full survey,30,1,1,2,1,7,1,7,,,,,,6,0,1,1,2,0,5,1,1,1,1
165,6/23/17 17:10,6/23/17 17:13,I will complete the full survey ,31,2,1,3,1,6,1,6,,,,,,6,0,1,1,2,0,5,2,2,2,2
166,6/23/17 17:07,6/23/17 17:08,I will complete the full survey,38,2,2,2,1,4,1,5,,,,,,6,0,1,1,2,0,5,1,1,1,1
167,6/23/17 17:00,6/23/17 17:02,I will complete the full survey,58,1,1,6,2,6,2,6,,,,,,6,0,1,1,1,0,5,5,5,5,5
168,6/23/17 17:22,6/23/17 17:23,I will complete the full survey,33,1,1,4,,6,1,6,,,,,,6,0,1,1,2,0,7,1,1,1,1
169,6/23/17 17:19,6/23/17 17:23,I will complete the full survey,31,2,1,4,2,7,2,7,,,,,,6,0,1,1,1,0,7,1,1,1,1
170,6/23/17 17:19,6/23/17 17:20,I will complete the full survey,41,2,1,1,3,1,1,4,,,,,,6,0,1,0,1,0,1,4,3,3,3.333333333
171,6/23/17 17:25,6/23/17 17:27,I will complete the full survey,48,2,1,7,2,4,3,4,,,,,,6,0,1,0,3,0,2,4,5,4,4.333333333
172,6/23/17 17:10,6/23/17 17:14,I will complete the full survey,62,2,1,1,1,7,1,6,,,,,,6,0,1,0,1,0,2,7,7,7,7
173,6/23/17 17:06,6/23/17 17:08,I will complete the full survey,44,2,1,2,1,5,1,5,,,,,,6,0,1,0,1,0,2,5,5,5,5
174,6/23/17 16:59,6/23/17 17:03,I will complete the full survey,23,,4,1,2,6,1,1,,,,,,6,0,1,0,1,0,2,3,4,2,3
175,6/23/17 17:01,6/23/17 17:03,I will complete the full survey,26,2,1,3,3,2,1,4,,,,,,6,0,1,0,1,0,2,4,4,4,4
176,6/23/17 17:00,6/23/17 17:02,I will complete the full survey,34,2,1,2,1,5,1,6,,,,,,6,0,1,0,1,0,2,2,2,2,2
177,6/23/17 17:12,6/23/17 17:13,I will complete the full survey,24,1,4,4,1,3,1,3,,,,,,6,0,1,0,1,0,3,2,4,5,3.666666667
178,6/23/17 17:07,6/23/17 17:08,i will complete the full survey,21,1,1,3,1,6,1,6,,,,,,6,0,1,0,1,0,3,5,5,4,4.666666667
179,6/23/17 17:03,6/23/17 17:05,I will complete the full survey,34,2,1,2,1,5,1,5,,,,,,6,0,1,0,1,0,3,5,5,5,5
