Include,Condition_Tracking,textcomp,Ifnd,external_lfdn,tester,dispcode,lastpage,quality,duration,c_0001,c_0002,AgreeInformedConsent,EmpathicConcern_1,EmpathicConcern_2_R,EmpathicConcern_3,EmpathicTendency_4,EmpathicConcern_5_R,EmpathicConcern_6_R,EmpathicConcern_7,brieflydescribe,thoughtsfeels,Identification_1,Identification_2,Identification_3,Identification_4,Identification_5,Identification_6,Identification_7,Identification_8,Identification_9,Identification_10,Responsibility_1,Responsibility_2,Appreciation_1,Appreciation_2,Appreciation_3,Enjoyment_1,Enjoyment_2,Enjoyment_3,NarrativeEngagement_1_R,NarrativeEngagement_2_R,NarrativeEngagement_3_R,NarrativeEngagement_4_R,NarrativeEngagement_5_R,NarrativeEngagement_6_R,NarrativeEngagement_7,NarrativeEngagement_8,NarrativeEngagement_9,NarrativeEngagement_10,NarrativeEngagement_11,NarrativeEngagement_12,BogusItem,percentagedonated,whydonate,Whereshe,Howfriends,Whytears,Why1,Whentip,Whoch,MTurkorCrowdflower,MTurkorCrowdflower_other,CrowflowerContributorID,Gender,gender_other,Age,Nationality,CountryResidency,LivedHomeless,FirstLanguage,FirstLanguage_Other,Occupation_unemployed,Occupation_student,Occupation_bluecollar_service,Occupation_clerical,Occupation_selfemployed,Occupation_professionalmanagerial,Occupation_otheryn,Occupation_otherwhat,condition,condition_other,storyoff_yn,storyoff_what,otherissues,comments,Data_quality_carefully_answered,Data_quality_participated_morethanonce,browser,referer,participant_browser,participant_browser_version,participant_os,participant_device,participant_brand,participant_model,participant_isbot,participant_continent,participant_country,participant_region,participant_city,participant_latitude,participant_longitude,quota,quota_assignment,page_history,hflip,vflip,output_mode,javascript,flash,session_id,language,cleaned,ats,datetime,date_of_last_access,date_of_first_mail,rts1496361,rts1496371,rts1496372,rts1496373,rts1496429,rts1496442,rts1496445,rts1496447,rts1496449,rts1501165,rts1624135,rts1646780,rts1646798,rts1693823,rts1693825,rts1693827,rts1693829,rts1693831,rts1693833,rts1693835,rts1693837,rts1693839,rts1693841,rts1693843,rts1693845,rts1693886,tic
no - test insti,18,,18,0,0,22,1496449,-77,-1,-66,2,-77,1,1,1,1,1,1,1,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=syadmin,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"14,963,591,496,442,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1,0,0,-77,-77,78cceb493f2431e72886285b2bda49e8,1,0,1464255973,26/05/16 09:46,26/05/16 12:06,0000-00-00 00:00:00,12,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,19,,19,0,0,32,1496374,-77,-1,-66,1,-77,1,1,1,1,1,1,1,testtest,testtest,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,1,1,1,7,1,1,1,1,1,1,1,1,7,1,testtest,-77,-77,-77,-77,-77,-77,-77,-66,1234,1,-99,124,asdf,asf,-77,1,-99,-77,-77,-77,-77,-77,-77,-77,-66,1,-99,-77,-66,-66,asfdasdf,-77,-77,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:45.0) Gecko/20100101 Firefox/45.0,-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"1,496,359,149,644,210,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,0,0,-77,-77,0bfc914a31861d296936155f9cb379d6,1,0,1464256889,26/05/16 10:01,26/05/16 12:05,0000-00-00 00:00:00,7156,7279,7286,7425,7220,11,7176,7190,7157,7181,7428,7162,7400,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,20,,20,0,0,22,1496361,-77,22,-66,1,-77,3,3,3,3,3,3,3,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"1,496,359,149,644,210,000,000,000,000,000,000,000,000,000,000,000",1,1,0,-77,-77,cb1ff08187d83e622e16469d828111a8,1,0,1464257194,26/05/16 10:06,26/05/16 10:07,0000-00-00 00:00:00,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,21,,21,0,0,22,1496449,-77,-1,-66,2,-77,3,3,3,3,3,3,3,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"14,963,591,496,442,100,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,1,0,-77,-77,e2de1270823d60b0fe472a61ee02814a,1,0,1464257246,26/05/16 10:07,01/06/16 12:14,0000-00-00 00:00:00,113,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,22,,22,0,0,22,1496361,-77,8,-66,2,-77,1,1,1,1,1,1,1,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=projectinfo,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"14,963,591,496,442,100,000,000,000,000,000,000",1,0,0,-77,-77,6278f94bf2b22c63030659bb90411305,1,0,1464264564,26/05/16 12:09,26/05/16 12:10,0000-00-00 00:00:00,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66
no - test insti,23,,23,0,0,22,1692529,-77,22,-66,1,-77,1,1,1,1,1,1,1,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=syadmin,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"149,635,914,964,421,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,1,0,-77,-77,5f7aea19c27077b57ec7650039a58f66,1,0,1464264740,26/05/16 12:12,26/05/16 12:12,0000-00-00 00:00:00,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91aff5c9b1569e729ee1362ee4cad95e
no - test insti,24,,24,0,0,22,1496449,-77,17,-66,2,-77,1,1,1,1,1,1,1,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",https://ww2.unipark.de/www/front.php?module=survey&controller=syadmin&pid=258656&__menu_node=syadmin,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"14,963,591,496,442,100,000,000,000,000,000,000",0,1,0,-77,-77,ff9cb0397b553d72140d9d1c7cc37465,1,0,1464265047,26/05/16 12:17,26/05/16 12:17,0000-00-00 00:00:00,17,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fa3f50e8e72452d654c84487122d58f0
no - test insti,32,,32,0,0,22,1496359,-77,0,-66,-66,1,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"169,388,616,938,871,000,000",0,0,0,-77,-77,010b73d3b960cbbf584140f299ccf1ba,1,0,1464280699,26/05/16 16:38,26/05/16 16:40,0000-00-00 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,-66
no - test insti,34,,34,0,0,31,1496374,-77,2632,-66,1,1,7,4,2,5,3,1,6,test tests the study testest,test tests the study testest,5,4,4,6,5,3,6,1,2,7,1,7,6,5,2,4,1,3,6,4,4,5,3,3,1,7,2,6,5,2,7,60,test Tests ;),-77,-77,-77,-77,-77,-77,-77,-66,test Tests,1,-99,10000,Swiss ;),Bi de test im Lande :),-77,6,Dê_tsch,-77,-77,-77,-77,-77,-77,-77,-66,3,-99,1,-99,bla,bla,-77,-77,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_4) AppleWebKit/601.5.17 (KHTML, like Gecko) Version/9.1 Safari/601.5.17",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"1,693,886,169,388,710,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,1,0,-77,-77,17ef9d12c29e9ba42e87f36b4bf832c6,1,0,1464314257,27/05/16 01:57,27/05/16 02:41,0000-00-00 00:00:00,1532,2057,2069,2410,1929,418,1797,1852,2612,1826,2616,1721,2347,2624,0,0,0,0,0,0,2632,0,0,0,0,213,b9c31424bf19bcec9e9d39350c3cf8ec
no - test insti,35,,35,0,0,22,1646780,-77,-1,-66,2,1,3,3,3,3,3,3,3,-66,-66,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-66,-77,-66,-66,-66,-66,-77,-77,-66,-77,-77,-77,-77,-77,-77,-77,-66,-77,-66,-77,-66,-66,-66,-77,-77,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36",-99,0,-99,0,0,0,0,0,0,0,-99,-99,-66,-66,0,-99,"169,388,616,938,871,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1,1,0,-77,-77,717ff614491e482088975dcd374f0252,1,0,1464332620,27/05/16 07:03,27/05/16 08:56,0000-00-00 00:00:00,163,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,a479d20d9748a224899d65c9bbb6b261
